case,geometry_spec,target_geometry_file,channel_length_mm,channel_height_mm,cylinder_center_x_mm,cylinder_center_y_mm,cylinder_diameter_mm,Uin_mps
channel_015,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_015.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_015.step,1.0,0.1,0.2627886663569924,0.06707059955394408,0.025,1.0
channel_016,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_016.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_016.step,1.0,0.1,0.4471089560544486,0.06291046453083321,0.025,1.0
channel_017,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_017.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_017.step,1.0,0.1,0.31180458420844853,0.03908954887139107,0.025,1.0
channel_018,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_018.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_018.step,1.0,0.1,0.3868447312356885,0.032552690244167015,0.025,1.0
channel_019,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_019.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_019.step,1.0,0.1,0.5711510410949929,0.0552665759648826,0.025,1.0
channel_020,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_020.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_020.step,1.0,0.1,0.3075775452388233,0.0633071278423135,0.025,1.0
channel_021,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_021.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_021.step,1.0,0.1,0.4851789438515182,0.04249466565528164,0.025,1.0
channel_022,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_022.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_022.step,1.0,0.1,0.5742753659417608,0.06219057429987208,0.025,1.0
channel_023,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_023.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_023.step,1.0,0.1,0.2740479058453678,0.041533124157209764,0.025,1.0
channel_024,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_024.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_024.step,1.0,0.1,0.47318446518310847,0.03559009934437239,0.025,1.0
channel_025,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_025.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_025.step,1.0,0.1,0.14743803667069813,0.03029449079004022,0.025,1.0
channel_026,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_026.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_026.step,1.0,0.1,0.5436739548139434,0.05659403426368129,0.025,1.0
channel_027,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_027.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_027.step,1.0,0.1,0.48848663057277625,0.061229161240878724,0.025,1.0
channel_028,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_028.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_028.step,1.0,0.1,0.3222681484883795,0.052749647838115754,0.025,1.0
channel_029,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_029.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_029.step,1.0,0.1,0.10686297373616878,0.03458120294143894,0.025,1.0
channel_030,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_030.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_030.step,1.0,0.1,0.4636719992085684,0.0488438482457253,0.025,1.0
channel_031,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_031.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_031.step,1.0,0.1,0.3940343718748025,0.06059995429664103,0.025,1.0
channel_032,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_032.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_032.step,1.0,0.1,0.44093486600039883,0.052143176026319835,0.025,1.0
channel_033,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_033.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_033.step,1.0,0.1,0.3899648335031542,0.04215800392250449,0.025,1.0
channel_034,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_034.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_034.step,1.0,0.1,0.033302038333359096,0.04746869556929449,0.025,1.0
channel_035,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_035.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_035.step,1.0,0.1,0.15734465415318222,0.04634114574898544,0.025,1.0
channel_036,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_036.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_036.step,1.0,0.1,0.5885470744560121,0.039357579434613627,0.025,1.0
channel_037,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_037.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_037.step,1.0,0.1,0.05185435064011956,0.04125535568087986,0.025,1.0
channel_038,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_038.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_038.step,1.0,0.1,0.21067578649251145,0.05647666058907581,0.025,1.0
channel_039,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_039.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_039.step,1.0,0.1,0.3884967028303629,0.061355928364256546,0.025,1.0
channel_040,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_040.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_040.step,1.0,0.1,0.46091163972098664,0.04625547445760282,0.025,1.0
channel_041,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_041.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_041.step,1.0,0.1,0.5619637596495733,0.03667891679630816,0.025,1.0
channel_042,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_042.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_042.step,1.0,0.1,0.027830649365355824,0.03360191443102567,0.025,1.0
channel_043,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_043.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_043.step,1.0,0.1,0.500092561652604,0.0484750892100555,0.025,1.0
channel_044,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_044.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_044.step,1.0,0.1,0.12135845084768121,0.05004179100413454,0.025,1.0
channel_045,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_045.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_045.step,1.0,0.1,0.11531066933138868,0.057852815003109445,0.025,1.0
channel_046,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_046.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_046.step,1.0,0.1,0.31365548601247073,0.045240849043859305,0.025,1.0
channel_047,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_047.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_047.step,1.0,0.1,0.2160206601748167,0.055211303724755544,0.025,1.0
channel_048,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_048.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_048.step,1.0,0.1,0.25672351212353856,0.03350599677264404,0.025,1.0
channel_049,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_049.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_049.step,1.0,0.1,0.09215398393134784,0.06847590658198058,0.025,1.0
channel_050,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_050.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_050.step,1.0,0.1,0.6257919662276348,0.05798828535242999,0.025,1.0
channel_051,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_051.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_051.step,1.0,0.1,0.19196222398517573,0.06876705509390896,0.025,1.0
channel_052,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_052.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_052.step,1.0,0.1,0.5381568601769113,0.058675607566359825,0.025,1.0
channel_053,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_053.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_053.step,1.0,0.1,0.31581901394705736,0.04088966247380636,0.025,1.0
channel_054,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_054.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_054.step,1.0,0.1,0.07756389945361203,0.06610409586175367,0.025,1.0
channel_055,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_055.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_055.step,1.0,0.1,0.3201489956376875,0.03809453459180921,0.025,1.0
channel_056,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_056.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_056.step,1.0,0.1,0.21902072130169045,0.05316878275767584,0.025,1.0
channel_057,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_057.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_057.step,1.0,0.1,0.1318216284839814,0.06426457136369502,0.025,1.0
channel_058,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_058.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_058.step,1.0,0.1,0.5245006826387668,0.05877851823803748,0.025,1.0
channel_059,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_059.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_059.step,1.0,0.1,0.30416280184819505,0.05509235362809773,0.025,1.0
channel_060,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_060.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_060.step,1.0,0.1,0.40676612901609654,0.055993864062192804,0.025,1.0
channel_061,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_061.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_061.step,1.0,0.1,0.06949991676942514,0.046632296086824385,0.025,1.0
channel_062,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_062.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_062.step,1.0,0.1,0.04058956735677743,0.049759632769780765,0.025,1.0
channel_063,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_063.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_063.step,1.0,0.1,0.2351563183246301,0.03578096755464188,0.025,1.0
channel_064,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_064.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_064.step,1.0,0.1,0.08229700321272236,0.053505782887108486,0.025,1.0
channel_065,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_065.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_065.step,1.0,0.1,0.12765025376239814,0.0670048047350719,0.025,1.0
channel_066,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_066.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_066.step,1.0,0.1,0.40471626929776666,0.043874792181393486,0.025,1.0
channel_067,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_067.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_067.step,1.0,0.1,0.41136795674995635,0.030912154841187898,0.025,1.0
channel_068,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_068.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_068.step,1.0,0.1,0.6595274689379756,0.04929213747771601,0.025,1.0
channel_069,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_069.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_069.step,1.0,0.1,0.5408462783939432,0.03330919999689754,0.025,1.0
channel_070,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_070.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_070.step,1.0,0.1,0.34099437331575827,0.04962827977418084,0.025,1.0
channel_071,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_071.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_071.step,1.0,0.1,0.6455328571081134,0.05286912209504302,0.025,1.0
channel_072,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_072.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_072.step,1.0,0.1,0.33210534571344386,0.04067902652367574,0.025,1.0
channel_073,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_073.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_073.step,1.0,0.1,0.23630907320622274,0.05082689609886151,0.025,1.0
channel_074,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_074.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_074.step,1.0,0.1,0.3087652357059065,0.030864483195213215,0.025,1.0
channel_075,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_075.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_075.step,1.0,0.1,0.5702470488311915,0.06584643087359068,0.025,1.0
channel_076,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_076.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_076.step,1.0,0.1,0.10716813507406227,0.05216144574156198,0.025,1.0
channel_077,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_077.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_077.step,1.0,0.1,0.0857886252664244,0.05688960372159247,0.025,1.0
channel_078,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_078.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_078.step,1.0,0.1,0.20233280409133064,0.05637690538767608,0.025,1.0
channel_079,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_079.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_079.step,1.0,0.1,0.5032213646436458,0.06074589967670629,0.025,1.0
channel_080,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_080.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_080.step,1.0,0.1,0.08522513852023018,0.06664047380550432,0.025,1.0
channel_081,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_081.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_081.step,1.0,0.1,0.16789444385404456,0.03149650224704719,0.025,1.0
channel_082,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_082.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_082.step,1.0,0.1,0.3870254168392513,0.04483689135449755,0.025,1.0
channel_083,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_083.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_083.step,1.0,0.1,0.5726080766143788,0.06233005888257208,0.025,1.0
channel_084,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_084.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_084.step,1.0,0.1,0.22656875265533288,0.0681159758027898,0.025,1.0
channel_085,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_085.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_085.step,1.0,0.1,0.20886954074458008,0.05060228516926858,0.025,1.0
channel_086,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_086.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_086.step,1.0,0.1,0.18527643613313188,0.06744174280195854,0.025,1.0
channel_087,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_087.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_087.step,1.0,0.1,0.12361027686786226,0.03179642477569316,0.025,1.0
channel_088,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_088.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_088.step,1.0,0.1,0.3061905155020506,0.06969502256223349,0.025,1.0
channel_089,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_089.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_089.step,1.0,0.1,0.6143821547220669,0.05994432077827797,0.025,1.0
channel_090,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_090.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_090.step,1.0,0.1,0.6137849313430043,0.06573786558791453,0.025,1.0
channel_091,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_091.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_091.step,1.0,0.1,0.36272939326085313,0.04263716207323172,0.025,1.0
channel_092,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_092.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_092.step,1.0,0.1,0.5336083916749169,0.05646645052671045,0.025,1.0
channel_093,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_093.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_093.step,1.0,0.1,0.26471896698975433,0.03377866672246061,0.025,1.0
channel_094,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_094.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_094.step,1.0,0.1,0.5165829876605925,0.040498420636914584,0.025,1.0
channel_095,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_095.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_095.step,1.0,0.1,0.644848876610301,0.03963882300022739,0.025,1.0
channel_096,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_096.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_096.step,1.0,0.1,0.09536160437775307,0.06324450688499625,0.025,1.0
channel_097,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_097.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_097.step,1.0,0.1,0.11596691372153348,0.03717073232630956,0.025,1.0
channel_098,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_098.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_098.step,1.0,0.1,0.4170833842765694,0.06498248163349858,0.025,1.0
channel_099,/home/hantianl/Documents/PIDIF/2d_geometry_specs/cylinder/channel_099.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/cylinder/channel_099.step,1.0,0.1,0.14509339935733695,0.042412946916003794,0.025,1.0
