case,geometry_spec,target_geometry_file,A_mm,lam_mm,phase_rad,Lx_mm,Ly_mm,npts,Uin_mps,y_shift_applied_mm
rect_ar20,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar20.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar20.step,0.0,1.0,0.0,3000.0,150.0,2,0.1,0.0
rect_ar21,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar21.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar21.step,0.0,1.0,0.0,3150.0,150.0,2,0.1,0.0
rect_ar22,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar22.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar22.step,0.0,1.0,0.0,3300.0,150.0,2,0.1,0.0
rect_ar23,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar23.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar23.step,0.0,1.0,0.0,3450.0,150.0,2,0.1,0.0
rect_ar24,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar24.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar24.step,0.0,1.0,0.0,3600.0,150.0,2,0.1,0.0
rect_ar25,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar25.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar25.step,0.0,1.0,0.0,3750.0,150.0,2,0.1,0.0
rect_ar26,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar26.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar26.step,0.0,1.0,0.0,3900.0,150.0,2,0.1,0.0
rect_ar27,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar27.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar27.step,0.0,1.0,0.0,4050.0,150.0,2,0.1,0.0
rect_ar28,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar28.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar28.step,0.0,1.0,0.0,4200.0,150.0,2,0.1,0.0
rect_ar29,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar29.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar29.step,0.0,1.0,0.0,4350.0,150.0,2,0.1,0.0
rect_ar30,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar30.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar30.step,0.0,1.0,0.0,4500.0,150.0,2,0.1,0.0
rect_ar31,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar31.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar31.step,0.0,1.0,0.0,4650.0,150.0,2,0.1,0.0
rect_ar32,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar32.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar32.step,0.0,1.0,0.0,4800.0,150.0,2,0.1,0.0
rect_ar33,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar33.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar33.step,0.0,1.0,0.0,4950.0,150.0,2,0.1,0.0
rect_ar34,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar34.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar34.step,0.0,1.0,0.0,5100.0,150.0,2,0.1,0.0
rect_ar35,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar35.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar35.step,0.0,1.0,0.0,5250.0,150.0,2,0.1,0.0
rect_ar36,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar36.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar36.step,0.0,1.0,0.0,5400.0,150.0,2,0.1,0.0
rect_ar37,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar37.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar37.step,0.0,1.0,0.0,5550.0,150.0,2,0.1,0.0
rect_ar38,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar38.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar38.step,0.0,1.0,0.0,5700.0,150.0,2,0.1,0.0
rect_ar39,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar39.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar39.step,0.0,1.0,0.0,5850.0,150.0,2,0.1,0.0
rect_ar40,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar40.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar40.step,0.0,1.0,0.0,6000.0,150.0,2,0.1,0.0
rect_ar41,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar41.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar41.step,0.0,1.0,0.0,6150.0,150.0,2,0.1,0.0
rect_ar42,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar42.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar42.step,0.0,1.0,0.0,6300.0,150.0,2,0.1,0.0
rect_ar43,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar43.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar43.step,0.0,1.0,0.0,6450.0,150.0,2,0.1,0.0
rect_ar44,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar44.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar44.step,0.0,1.0,0.0,6600.0,150.0,2,0.1,0.0
rect_ar45,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar45.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar45.step,0.0,1.0,0.0,6750.0,150.0,2,0.1,0.0
rect_ar46,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar46.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar46.step,0.0,1.0,0.0,6900.0,150.0,2,0.1,0.0
rect_ar47,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar47.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar47.step,0.0,1.0,0.0,7050.0,150.0,2,0.1,0.0
rect_ar48,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar48.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar48.step,0.0,1.0,0.0,7200.0,150.0,2,0.1,0.0
rect_ar49,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar49.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar49.step,0.0,1.0,0.0,7350.0,150.0,2,0.1,0.0
rect_ar50,/home/hantianl/Documents/PIDIF/2d_geometry_specs/rect_ar50.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/rect_ar50.step,0.0,1.0,0.0,7500.0,150.0,2,0.1,0.0
